pressure_level,turns,layer,matched_pair_turns,cosine_distance_mean,cosine_distance_median,cosine_distance_q10,cosine_distance_q90
0,1|2|3|4|5,0,1080,0.0,0.0,0.0,0.0
0,1|2|3|4|5,7,1080,4.410052570038816e-17,0.0,0.0,2.220446049250313e-16
0,1|2|3|4|5,14,1080,3.104512531822197e-17,0.0,0.0,2.220446049250313e-16
0,1|2|3|4|5,21,1080,2.4774421197653956e-17,0.0,0.0,1.1102230246251565e-16
0,1|2|3|4|5,28,1080,5.41747716645794e-17,0.0,0.0,2.220446049250313e-16
1,6|7|8|9,0,864,0.0,0.0,0.0,0.0
1,6|7|8|9,7,864,0.022262294077009883,0.02147617686154102,0.01818550325082926,0.026917314681541717
1,6|7|8|9,14,864,0.03517710258688343,0.03385766246644473,0.025670872267683175,0.04555795952026536
1,6|7|8|9,21,864,0.025752248512509828,0.019088479803035352,0.012269139849925415,0.04131583019106352
1,6|7|8|9,28,864,0.02410605797060294,0.014840295353383881,0.00832886918297463,0.05267230865867297
2,10|11|12|13,0,864,0.0,0.0,0.0,0.0
2,10|11|12|13,7,864,0.024285478399510313,0.022437214425744256,0.018979075327841023,0.03051549044884174
2,10|11|12|13,14,864,0.028803711235332378,0.02790727949916383,0.022630208631402304,0.036050055830715924
2,10|11|12|13,21,864,0.019950755672509243,0.015624676687650718,0.011654141833031739,0.04001579270448011
2,10|11|12|13,28,864,0.025606534748234006,0.013205020888469365,0.007567392606843704,0.047231300955438676
3,14|15|16|17,0,864,0.0,0.0,0.0,0.0
3,14|15|16|17,7,864,0.027788956488712085,0.02578745941547017,0.02127606727475497,0.03344139730921843
3,14|15|16|17,14,864,0.031088805069096857,0.0304029539242604,0.024094649696929947,0.038736512416832986
3,14|15|16|17,21,864,0.02083922012067049,0.017208367622159715,0.013179000616069348,0.035594552248491805
3,14|15|16|17,28,864,0.02426773548856044,0.01143227633659516,0.006813315531290798,0.030506763941059906
4,18|19|20|21,0,864,0.0,0.0,0.0,0.0
4,18|19|20|21,7,864,0.03197425534474529,0.029029227331300922,0.025023390287320035,0.03890107338397037
4,18|19|20|21,14,864,0.037458621976987405,0.03649773355736813,0.029766631607694428,0.04594380256211098
4,18|19|20|21,21,864,0.025202686312881733,0.019999936107297667,0.014660286904109032,0.04556101809978177
4,18|19|20|21,28,864,0.02995469642805341,0.013336992193217378,0.008404962398738247,0.03503962670288278
5,22|23|24|25,0,864,0.0,0.0,0.0,0.0
5,22|23|24|25,7,864,0.030719077499816453,0.028347398727526174,0.020789675390286776,0.03859427907194269
5,22|23|24|25,14,864,0.03307175224802908,0.031470974306847754,0.02353946991774818,0.04424627685857289
5,22|23|24|25,21,864,0.02430626258492174,0.019506543442361024,0.01352449749471223,0.04978714927238389
5,22|23|24|25,28,864,0.027216936102281722,0.011862717758075958,0.007755053267120771,0.04120449982749258
